file_name,verified_by,verification_timestamp_utc,row_count,raw_disk_bytes,crlf_detected,raw_sha256,lf_normalized_sha256,published_sha256,status
pages.jsonl,Aaron,2026-09-12T15:00:13Z,4579,2973326,false,92b296170b496b836cdf5ef783bed9465d2d75db7e1a0becec1c36c8b7c42cfd,92b296170b496b836cdf5ef783bed9465d2d75db7e1a0becec1c36c8b7c42cfd,92b296170b496b836cdf5ef783bed9465d2d75db7e1a0becec1c36c8b7c42cfd,MATCH
revisions.jsonl,Aaron,2026-09-12T15:00:14Z,14591,41521492,false,60df4a515178230aa952d9f64f6215aea4bd95ab2f05e31e484cf9b887e3f793,60df4a515178230aa952d9f64f6215aea4bd95ab2f05e31e484cf9b887e3f793,60df4a515178230aa952d9f64f6215aea4bd95ab2f05e31e484cf9b887e3f793,MATCH
events.jsonl,Aaron,2026-09-12T15:00:14Z,19913,8543896,false,588584295f1c4a7c3d90b04075ab151504f165ff069534d935cda08853ec28b1,588584295f1c4a7c3d90b04075ab151504f165ff069534d935cda08853ec28b1,588584295f1c4a7c3d90b04075ab151504f165ff069534d935cda08853ec28b1,MATCH
labels.jsonl,Aaron,2026-09-12T15:00:14Z,3103,1471940,false,d94aecd84baecda46344f5b8726a95a9c81e7e41a1c0969fc89a90c8906f0388,d94aecd84baecda46344f5b8726a95a9c81e7e41a1c0969fc89a90c8906f0388,d94aecd84baecda46344f5b8726a95a9c81e7e41a1c0969fc89a90c8906f0388,MATCH
manifest.json,Aaron,2026-09-12T15:00:14Z,2221,62254,false,b6d53e16b5d9a6a0a98d4577238835ee7a574d7d10a8f1312330b4e626c6ba2b,b6d53e16b5d9a6a0a98d4577238835ee7a574d7d10a8f1312330b4e626c6ba2b,b6d53e16b5d9a6a0a98d4577238835ee7a574d7d10a8f1312330b4e626c6ba2b,MATCH
